Issue Type,Patch Info,Key,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Task,,HAMA-895 ,Please delete old releases from mirroring system,Unassigned,Sebb,Major,Closed,Fixed,22/Mar/14 07:59,22/Mar/14 16:16,
Improvement,,WW-3968 ,Cleanup logic regarding DMI in DefaultActionMapper,Unassigned,Lukasz Lenart,Minor,Closed,Invalid,18/Jan/13 01:53,22/Mar/14 13:42,
Improvement,,CLOUDSTACK-6273 ,Confirmation text improvement in Create-Zone Wizard,Mike Tutkowski,Mike Tutkowski,Minor,Closed,Fixed,22/Mar/14 06:32,22/Mar/14 06:44,
Task,,CXF-352 ,Update WS-A MessageID and WS-RM Acknowledgement headers in resent messages,Dennis Sosnoski,Andrea Smyth,Major,Closed,Fixed,04/Jan/07 17:11,22/Mar/14 06:25,
Improvement,,KAFKA-1321 ,Kafka zookeeper path should be configurable to create multiple Kafka cluster in the same zookeeper cluster,Unassigned,Jay Bae,Major,Closed,Done,22/Mar/14 02:33,22/Mar/14 05:50,
Improvement,,HBASE-6043 ,Add Increment Coalescing in thrift.,Elliott Clark,Elliott Clark,Major,Closed,Fixed,18/May/12 04:30,22/Mar/14 04:41,
Sub-task,,HIVE-1362 ,HIVE-33 Optimizer statistics on columns in tables and partitions,Shreepadma Venugopalan,Ning Zhang,Major,Closed,Fixed,22/May/10 04:47,22/Mar/14 02:51,
Bug,,HDFS-4944 ,"WebHDFS cannot create a file path containing characters that must be URI-encoded, such as space.",Chris Nauroth,Chris Nauroth,Major,Closed,Fixed,29/Jun/13 11:37,22/Mar/14 02:50,
Bug,,CLOUDSTACK-5982 ,Fix response name for assign and unassign cert from lb,Unassigned,Syed Ahmed,Major,Closed,Fixed,29/Jan/14 23:26,22/Mar/14 02:11,
Bug,,TWILL-39 ,snappy-java needs to be upgraded to 1.0.5 build is failing on Mac OS X 10.7,Fabian Murariu,Fabian Murariu,Major,Closed,Fixed,08/Feb/14 17:39,22/Mar/14 01:37,
Task,,INFRA-3590 ,add OFBiz to sonar,Olivier Lamy (*$^¨%`£),Erwan de FERRIERES,Major,Closed,Incomplete,18/Apr/11 18:28,22/Mar/14 01:25,
Bug,,INFRA-2481 ,Creating a new cwiki space ends up pointing to non-existent Home,Gavin,Gavin,Major,Closed,Fixed,06/Feb/10 06:16,22/Mar/14 01:20,
Task,,INFRA-7384 ,cwiki pig-committers group is not working,Gavin,Daniel Dai,Major,Closed,Fixed,27/Feb/14 03:15,22/Mar/14 01:17,
Sub-task,,INFRA-7477 ,INFRA-7473 Tajo TLP: migration from Moinmoin wiki to confluence,Gavin,Hyunsik Choi,Major,Closed,Fixed,20/Mar/14 14:11,22/Mar/14 01:12,
Bug,,HDFS-5526 ,Datanode cannot roll back to previous layout version,Kihwal Lee,Tsz Wo Nicholas Sze,Blocker,Closed,Fixed,19/Nov/13 08:33,22/Mar/14 00:39,
Bug,,HIVE-5410 ,Hive command line option --auxpath still does not work post HIVE-5363,Brock Noland,Brock Noland,Blocker,Closed,Fixed,01/Oct/13 20:31,22/Mar/14 00:32,
Task,,INFRA-7212 ,"Please create a CouchDB JIRA security group, private tickets",Gavin,Noah Slater,Major,Closed,Fixed,20/Jan/14 00:20,22/Mar/14 00:24,
Improvement,,HIVE-5363 ,HIVE-3978 broke the command line option --auxpath,Brock Noland,Brock Noland,Blocker,Closed,Fixed,26/Sep/13 02:23,22/Mar/14 00:24,
Bug,,HIVE-3978 ,"HIVE_AUX_JARS_PATH should have : instead of , as separator since it gets appended to HADOOP_CLASSPATH",Arup Malakar,Arup Malakar,Major,Closed,Fixed,02/Feb/13 07:28,22/Mar/14 00:23,
Sub-task,,INFRA-7459 ,"INFRA-7123 Provide Jackie access to ""Source Editor"" plugin",Gavin,Mariangela Hills,Minor,Closed,Fixed,17/Mar/14 11:28,22/Mar/14 00:17,
Bug,,INFRA-7487 ,cull the confluence-admins group,Gavin,Gavin,Major,Closed,Fixed,21/Mar/14 23:17,21/Mar/14 23:40,
Bug,,INFRA-7471 ,bb-openbsd.apache.org is down,Gavin,Stefan Sperling,Major,Closed,Fixed,20/Mar/14 03:23,21/Mar/14 22:36,
Sub-task,,KAFKA-821 ,KAFKA-822 specifying a non-existent partition to ./bin/kafka-reassign-partitions.sh breaks all reassignment ops,Swapnil Ghike,Scott Clasen,Blocker,Closed,Fixed,22/Mar/13 02:40,21/Mar/14 22:12,
Bug,,FLEX-34177 ,MobileGrid Header,Unassigned,Leonidas Kanellopoulos,Major,Closed,Duplicate,21/Mar/14 21:28,21/Mar/14 21:50,
Task,,INFRA-7469 ,Get added as a moderator for mesos mailing lists,Gavin,Benjamin Hindman,Blocker,Closed,Fixed,19/Mar/14 23:09,21/Mar/14 21:36,
Bug,,WW-3308 ,javassist trouble on JBoss 5.1,Lukasz Lenart,Mykyta Kostovskyy,Critical,Closed,Fixed,30/Oct/09 22:00,21/Mar/14 20:47,
Improvement,,INFRA-7485 ,JDK 8 Installation in Jenkins Servers,Jake Farrell,Sandro Martini,Major,Closed,Fixed,21/Mar/14 17:42,21/Mar/14 20:14,
Improvement,,MESOS-1105 ,TODO(benh): choose a better scheme to set mem in slave/containerizer/containerizer.cpp,Ashutosh Jain,Ashutosh Jain,Minor,Closed,Fixed,16/Mar/14 21:07,21/Mar/14 14:40,
Sub-task,,SOLR-5476 ,SOLR-5381 Overseer Role for nodes,Noble Paul,Noble Paul,Major,Closed,Fixed,20/Nov/13 20:06,21/Mar/14 14:17,
Improvement,,JCR-2835 ,Poor performance of ISDESCENDANTNODE on SQL 2 queries,Unassigned,Serge Huber,Major,Closed,Fixed,08/Dec/10 13:07,21/Mar/14 13:50,
Bug,,CLOUDSTACK-5875 ,No templates in simulator run,Santhosh Kumar Edukulla,sebastien goasguen,Major,Closed,Fixed,15/Jan/14 15:52,21/Mar/14 13:39,
Sub-task,,INFRA-7475 ,INFRA-7473 Tajo TLP: Rename Github Mirror,Jake Farrell,Hyunsik Choi,Major,Closed,Fixed,20/Mar/14 10:44,21/Mar/14 11:49,
